tick,hour_of_week,tick_Wh,sleep_nodes,alive_capacity_fraction
178,14,1786.836060453816,0,1.0
179,14,1787.4316937585993,0,1.0
180,15,1788.9572374577242,0,1.0
181,15,1787.2022879211258,0,1.0
182,15,1787.0549999825216,0,1.0
183,15,1787.2943095193443,0,1.0
184,15,1786.8599669150121,0,1.0
185,15,1786.697021135209,0,1.0
186,15,1787.1682452210866,0,1.0
187,15,1787.8270513617902,0,1.0
188,15,1788.0713746267304,0,1.0
189,15,1786.6594742326351,0,1.0
190,15,1787.2302692293435,0,1.0
191,15,1787.0876639696792,0,1.0
192,16,1786.4875814504214,0,1.0
193,16,1786.974316436767,0,1.0
194,16,1786.6980951060063,0,1.0
195,16,1786.6626463627476,0,1.0
196,16,1787.2685453575368,0,1.0
197,16,1787.0018887345018,0,1.0
198,16,1786.5740353525784,0,1.0
199,16,1787.2391214329239,0,1.0
200,16,1786.9929251880471,0,1.0
201,16,1786.7454969633477,0,1.0
202,16,1786.8716155954764,0,1.0
203,16,1787.0475134617704,0,1.0
204,17,1786.8482517987418,0,1.0
205,17,1787.7984422085483,0,1.0
206,17,1787.4674965231366,0,1.0
207,17,1788.5254374767721,0,1.0
208,17,1787.5231136924178,0,1.0
209,17,1787.7892382738528,0,1.0
210,17,1787.2099898332772,0,1.0
211,17,1787.247884138399,0,1.0
212,17,1787.9483246536224,0,1.0
213,17,1788.2834880702706,0,1.0
214,17,1788.2589291230108,0,1.0
215,17,1788.143507728706,0,1.0
216,18,1787.5764169493787,0,1.0
217,18,1787.4039803272856,0,1.0
218,18,1787.6835589518428,0,1.0
219,18,1789.374181530194,0,1.0
220,18,1788.0804595216273,0,1.0
221,18,1787.5481029291745,0,1.0
222,18,1788.0145147755434,0,1.0
223,18,1787.707580220154,0,1.0
224,18,1788.7107600271315,0,1.0
225,18,1789.043244941486,0,1.0
226,18,1788.7530227363707,0,1.0
227,18,1787.9477412409487,0,1.0
228,19,1787.5897067790895,0,1.0
229,19,1788.8278810968006,0,1.0
230,19,1787.7737015922453,0,1.0
231,19,1787.9124231649332,0,1.0
232,19,1788.1716690735332,0,1.0
233,19,1788.4579195016809,0,1.0
234,19,1788.1488906192544,0,1.0
235,19,1787.9536724565164,0,1.0
236,19,1788.1809873172426,0,1.0
237,19,1788.0033020055544,0,1.0
238,19,1788.3246979170622,0,1.0
239,19,1788.6449824162514,0,1.0
240,20,1788.0514625724072,0,1.0
241,20,1788.18828376978,0,1.0
242,20,1788.3876402303667,0,1.0
243,20,1789.3724406555875,0,1.0
244,20,1788.8839907289816,0,1.0
245,20,1788.1234904272378,0,1.0
246,20,1788.1710834927774,0,1.0
247,20,1787.8040108671976,0,1.0
248,20,1788.789815683753,0,1.0
249,20,1789.9414193999912,0,1.0
250,20,1789.8641885552834,0,1.0
251,20,1791.138324746533,0,1.0
252,21,1788.809121096655,0,1.0
253,21,1788.7239240865788,0,1.0
254,21,1787.9654790077639,0,1.0
255,21,1789.203692145731,0,1.0
256,21,1788.3506581945562,0,1.0
257,21,1789.7443401155097,0,1.0
258,21,1789.1825627317933,0,1.0
259,21,1788.30457425166,0,1.0
260,21,1788.9954378463249,0,1.0
261,21,1788.3693210482666,0,1.0
262,21,1789.4386108746842,0,1.0
263,21,1789.3074780499264,0,1.0
264,22,1790.8838953803217,0,1.0
265,22,1789.1814189614647,0,1.0
266,22,1789.4454972466406,0,1.0
267,22,1788.8132241807798,0,1.0
268,22,1788.5226927344856,0,1.0
269,22,1789.4671525479575,0,1.0
270,22,1788.8084264967495,0,1.0
271,22,1789.077688056023,0,1.0
272,22,1788.8698784945077,0,1.0
273,22,1791.163013294091,0,1.0
274,22,1790.6023263188217,0,1.0
275,22,1788.8481139954395,0,1.0
276,23,1788.8176686101708,0,1.0
277,23,1789.1232433362793,0,1.0
278,23,1790.9595895767618,0,1.0
279,23,1789.7022112676682,0,1.0
280,23,1788.912979100561,0,1.0
281,23,1789.3328528046309,0,1.0
282,23,1788.9181679023409,0,1.0
283,23,1789.7996821284064,0,1.0
284,23,1789.293986761662,0,1.0
285,23,1788.5846079204798,0,1.0
